board,avg_2seg_orient,avg_3seg_orient,seg2_same_orient,seg2_3_same_orient,seg2_dist_to_left,seg2_dist_to_right,seg2_dist_to_upper,seg2_dist_to_bottom,seg3_dist_to_left,seg3_dist_to_right,seg3_dist_to_upper,seg3_dist_to_bottom,avg_spread_2_2,avg_spread_2_3,avg_spread_all,seg2_ships_whole_at_edge,seg3_ships_whole_at_edge,total_ships_whole_at_edge,seg2_ships_touching_edge,seg3_ships_touching_edge,total_ships_touching_edge
000220000000000003002003002003000000,0.0,-1.0,False,False,2.5,2.0,1.5,3.0,5.0,0.0,2.0,1.0,3.8078865529319534,3.197741615699397,3.401123261443583,1.0,1.0,2.0,0.0,0.0,0.0
300000300022300000000020000020000000,0.0,-1.0,False,False,4.0,0.5,2.0,2.5,0.0,5.0,0.0,3.0,2.549509756796392,4.60849528301415,3.922166774274898,0.0,1.0,1.0,1.0,0.0,1.0
000003000003000003000000020002020002,-2.0,-1.0,True,True,3.0,2.0,4.0,0.0,5.0,0.0,0.0,3.0,4.0,4.407536453183663,4.271690968789108,1.0,1.0,2.0,1.0,0.0,1.0
000000000333000000000000000022022000,2.0,1.0,True,True,2.5,1.5,4.5,0.5,3.0,0.0,1.0,4.0,3.1622776601683795,3.879185915588706,3.640216497115264,1.0,0.0,1.0,1.0,1.0,2.0
000000022000000000000003022003000003,2.0,-1.0,True,False,1.0,3.0,2.5,2.5,5.0,0.0,3.0,0.0,3.0,4.054886114323222,3.703257409548815,0.0,1.0,1.0,0.0,0.0,0.0
333000000020020020020000000000000000,-2.0,1.0,True,False,2.5,2.5,1.5,2.5,0.0,3.0,0.0,5.0,3.1622776601683795,2.9270509831248424,3.005459875472688,0.0,1.0,1.0,0.0,0.0,0.0
000000000333000000002002002002000000,-2.0,1.0,True,False,3.5,1.5,3.0,1.0,3.0,0.0,1.0,4.0,3.0,2.9470722611418383,2.9647148407612254,1.0,0.0,1.0,0.0,1.0,1.0
000000000003002003002003000000000022,0.0,-1.0,False,False,3.0,1.5,3.5,1.0,5.0,0.0,1.0,2.0,3.5355339059327378,3.0413812651491097,3.206098812076985,1.0,1.0,2.0,0.0,0.0,0.0
020000020220000000000000003330000000,0.0,1.0,False,False,2.0,2.5,0.5,4.0,2.0,1.0,4.0,1.0,2.549509756796392,3.536255069649192,3.207339965364925,0.0,0.0,0.0,1.0,0.0,1.0
202000202030000030000030000000000000,-2.0,-1.0,True,True,1.0,4.0,0.0,4.0,4.0,1.0,1.0,2.0,2.0,3.3860009363293826,2.924000624219589,1.0,0.0,1.0,1.0,0.0,1.0
000220000000220000000000000333000000,2.0,1.0,True,True,1.5,2.5,1.0,4.0,3.0,0.0,4.0,1.0,3.605551275463989,4.031128874149275,3.889269674587513,1.0,0.0,1.0,1.0,1.0,2.0
000000000003000003002203200000200000,0.0,-1.0,False,False,1.0,3.5,3.5,1.0,5.0,0.0,1.0,2.0,2.9154759474226504,4.141376173658363,3.732742764913125,1.0,1.0,2.0,0.0,0.0,0.0
000220020000020333000000000000000000,0.0,1.0,False,False,2.0,2.5,0.5,4.0,3.0,0.0,2.0,3.0,2.9154759474226504,2.55146703897897,2.67280334179353,1.0,0.0,1.0,0.0,1.0,1.0
300000300000300000000200200200200000,-2.0,-1.0,True,True,1.5,3.5,3.5,0.5,0.0,5.0,0.0,3.0,3.1622776601683795,3.702562418976664,3.5224674993739025,1.0,1.0,2.0,0.0,0.0,0.0
000022022000000000003330000000000000,2.0,1.0,True,True,2.5,1.5,0.5,4.5,2.0,1.0,3.0,2.0,3.1622776601683795,2.9270509831248424,3.005459875472688,1.0,0.0,1.0,0.0,0.0,0.0
