board_state_100chars_code,conf_level,margin_est,margin_highest,rel_error,time_mc
0000000000000000000077700000007470000000747700000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,16.9
0000000000000000000077700000007470000000747700000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,16.78
0000000000000000000077700000007470000000747700000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,16.89
0000000000000000000077700000007470000000747700000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,16.29
0000000000000000000077700000007470000000747700000074700700007470701000777700070072277777777777555557,3.29,1.0,0.06,0.0,20.02
0000000000000000000077700000007470000000747700000074700700007470701000777700070072277777777777555557,3.29,1.0,0.06,0.0,19.28
0000000000000000000077700000007470000000747700000074700700007470701000777700070072277777777777555557,3.29,1.0,0.06,0.0,18.67
0000000000000000000077700000007470000000747700000074700700007470701000777700070072277777777777555557,3.29,1.0,0.06,0.0,19.27
0000000000000000000077700000007470000000747700000074700700007470701000777700070072277777777777555557,3.29,1.0,0.06,0.0,19.32
0000000000000000000077700000007470000000747700000074700700007470701000777700070072277777777777555557,3.29,1.0,0.06,0.0,19.24
0000000000000000000077700000007470000000747700000074700700007470701000777700070072277777777777555557,3.29,1.0,0.06,0.0,19.59
0000000000000000000077700000007470000000747700000074700700007470701000777700070072277777777777555557,3.29,1.0,0.06,0.0,18.98
0000000000000000000077700000007470000000747700000074700700007470701000777700070072277777777777555557,3.29,1.0,0.06,0.0,19.11
0000000000000000000077700000007470000000747700000074700700007470701000777700070072277777777777555557,3.29,1.0,0.06,0.0,18.98
0000000000000000000077700000007470000000747700000074700700007470701100777700070072277777777777555557,3.29,1.0,0.06,0.0,21.5
0000000000000000000077700000007470000000747700000074700700007470701100777700070072277777777777555557,3.29,1.0,0.06,0.0,22.08
0000000000000000000077700000007470000000747700000074700700007470701100777700070072277777777777555557,3.29,1.0,0.06,0.0,21.78
0000000000000000000077700000007470000000747700000074700700007470701100777700070072277777777777555557,3.29,1.0,0.06,0.0,21.45
0000000000000000000077700000007470000000747700000074700700007470701100777700070072277777777777555557,3.29,1.0,0.06,0.0,21.53
0000000000000000000077700000007470000000747700000074700700007470701100777700070072277777777777555557,3.29,1.0,0.06,0.0,22.45
0000000000000000000077700000007470000000747700000074700700007470701100777700070072277777777777555557,3.29,1.0,0.06,0.0,22.03
0000000000000000000077700000007470000000747700000074700700007470701100777700070072277777777777555557,3.29,1.0,0.06,0.0,21.28
0000000000000000000077700000007470000000747700000074700700007470701100777700070072277777777777555557,3.29,1.0,0.06,0.0,21.71
0000000000000000000077700000007470000000747700000074700700007470701100777700070072277777777777555557,3.29,1.0,0.06,0.0,22.26
0000000000000000000077700000007470000000747700000074700777777470773337777707777772277777777777555557,3.29,1.0,0.06,0.0,9.71
0000000000000000000077700000007470000000747700000074700777777470773337777707777772277777777777555557,3.29,1.0,0.06,0.0,9.45
0000000000000000000077700000007470000000747700000074700777777470773337777707777772277777777777555557,3.29,1.0,0.06,0.0,9.68
0000000000000000000077700000007470000000747700000074700777777470773337777707777772277777777777555557,3.29,1.0,0.06,0.0,9.54
0000000000000000000077700000007470000000747700000074700777777470773337777707777772277777777777555557,3.29,1.0,0.06,0.0,9.8
0000000000000000000077700000007470000000747700000074700777777470773337777707777772277777777777555557,3.29,1.0,0.06,0.0,9.37
0000000000000000000077700000007470000000747700000074700777777470773337777707777772277777777777555557,3.29,1.0,0.06,0.0,9.85
