board_state_100chars_code,best_field,best_prob,time_adv,time_mc
0000070000000000707000000007007700777007470075707047007577074700757070477775777777727573330072777777,"[0, 7]",0.3109506359129123,1.01,0.9533333333333333
2707555557270777777777700070000777700700707370000707737000770073700073707770007307000000730007000777,"[8, 5]",0.4487362899380067,1.06,0.6566666666666667
7770070000737000000073770000007377700000777570000772757000007275700070777577777000757722770077777770,"[5, 7]",0.3490146941565099,1.41,1.4866666666666666
7770070000737000000073770000007377700000777570000772757007007275700070777577777000757722770077777770,"[4, 5]",0.3545056867891513,1.22,1.4733333333333334
0000000077000000007400000000740000000074777770007473337000777777700700333700700777777777700075555570,"[5, 6]",0.1695788710846283,5.05,1.7333333333333334
0000000077000000007400000000740000000074777770007473337070777777700700333700700777777777700075555570,"[6, 5]",0.1895180839716862,4.48,1.6133333333333333
0000000077000000007400000000740000000074777770007473337070777777770700333700700777777777700075555570,"[4, 7]",0.1695280253634025,3.63,1.92
0000000077000000007400000000740000000074777770077473337070777777770700333700700777777777700075555570,"[3, 6]",0.1810847799466974,3.13,1.856666666666667
0000000077000000007400000000740000001074777770077473337070777777770700333700700777777777700075555570,"[3, 7]",0.2816229116945107,1.73,1.7133333333333332
0000000077000000007400000000740000001774777770077473337070777777770700333700700777777777700075555570,"[4, 6]",0.3920265780730897,1.56,1.22
0000070000777000000075700000007577700000757270000775727700007577777770777073337770007777700007007000,"[0, 3]",0.4149469281458391,18.42,1.9333333333333331
0007070000777000000075700000007577700000757270000775727700007577777770777073337770007777700007007000,"[5, 8]",0.3534318023425732,11.26,3.08
0007070000777000000075700000007577700000757270000775727700707577777770777073337770007777700007007000,"[0, 9]",0.3533379694019471,7.79,3.58
0007070007777000000075700000007577700000757270000775727700707577777770777073337770007777700007007000,"[1, 8]",0.3774330573179912,5.53,3.87
0007070007777000007075700000007577700000757270000775727700707577777770777073337770007777700007007000,"[2, 7]",0.418966187329965,3.75,3.133333333333333
0007070007777000007075700007007577700000757270000775727700707577777770777073337770007777700007007000,"[3, 6]",0.4984764028242289,2.54,1.7933333333333332
0007070007777000007075700007007577707000757270000775727700707577777770777073337770007777700007007000,"[4, 5]",0.5595732068761115,1.21,1.04
0774770170007470700070747000000774700000777770000773757000007375700000737570000077757700000075707000,"[0, 6]",0.5027087123509197,51.06,3.14
0774777270007470727070747077700774700000777770000773757000007375700000737570000077757700000075707000,"[3, 5]",0.2595128073478236,1.88,1.2566666666666666
0774777270007470727070747077700774710000777770000773757000007375700000737570000077757700000075707000,"[2, 5]",0.4860408881072763,1.09,0.8166666666666665
0774777270007470727070747777700774710000777770000773757000007375700000737570000077757700000075707000,"[3, 6]",0.5059880239520959,1.02,1.1966666666666663
7777777777555557333777777777770100700727770700772700700007770700000070700007000000007000070007007000,"[3, 2]",0.8663573610953944,5.12,0.42
7777777777555557333777777777770110700727770700772700700007770700000070700007000000007000070007007000,"[3, 0]",0.7959330759330759,4.59,0.77
